zone,val,count
ANTC1HOF,5387.13928,1128
ANTC1HOF,5390.42012,1189
ANTC1HOF,5393.70096,1417
ANTC1HOF,5396.9818,2002
ANTC1HOF,5400.26264,1586
ANTC1HOF,5403.54348,1423
ANTC1HOF,5406.82432,1815
ANTC1HOF,5410.10516,1379
ANTC1HOF,5413.3859999999995,1215
ANTC1HOF,5416.66684,1100
ANTC1HOF,5419.94768,1423
ANTC1HOF,5423.22852,1140
ANTC1HOF,5426.50936,1200
ANTC1HOF,5429.7902,1702
ANTC1HOF,5433.07104,1430
ANTC1HOF,5436.35188,1564
ANTC1HOF,5439.63272,1624
ANTC1HOF,5442.91356,2163
ANTC1HOF,5446.1944,1563
ANTC1HOF,5449.47524,1576
ANTC1HOF,5452.75608,1947
ANTC1HOF,5456.03692,1314
ANTC1HOF,5459.31776,1316
ANTC1HOF,5462.5986,1235
ANTC1HOF,5465.87944,1768
ANTC1HOF,5469.16028,1480
ANTC1HOF,5472.44112,1579
ANTC1HOF,5475.72196,2315
ANTC1HOF,5479.0028,1875
ANTC1HOF,5482.28364,1855
ANTC1HOF,5485.56448,1735
ANTC1HOF,5488.84532,2177
ANTC1HOF,5492.12616,1460
ANTC1HOF,5495.407,1410
ANTC1HOF,5498.68784,1331
ANTC1HOF,5501.96868,1726
ANTC1HOF,5505.24952,1365
ANTC1HOF,5508.53036,1442
ANTC1HOF,5511.8112,2190
ANTC1HOF,5515.0920399999995,1761
ANTC1HOF,5518.37288,1904
ANTC1HOF,5521.65372,1901
ANTC1HOF,5524.93456,2443
ANTC1HOF,5528.2154,1760
ANTC1HOF,5531.49624,1627
ANTC1HOF,5534.77708,1924
ANTC1HOF,5538.05792,1339
ANTC1HOF,5541.33876,1315
ANTC1HOF,5544.6196,1340
ANTC1HOF,5547.90044,1921
ANTC1HOF,5551.18128,1528
ANTC1HOF,5554.46212,1626
ANTC1HOF,5557.74296,2304
ANTC1HOF,5561.0238,1693
ANTC1HOF,5564.30464,1677
ANTC1HOF,5567.58548,1638
ANTC1HOF,5570.86632,2011
ANTC1HOF,5574.1471599999995,1391
ANTC1HOF,5577.428,1282
ANTC1HOF,5580.70884,1176
ANTC1HOF,5583.98968,1710
ANTC1HOF,5587.27052,1366
ANTC1HOF,5590.55136,1474
ANTC1HOF,5593.8322,2121
ANTC1HOF,5597.11304,1748
ANTC1HOF,5600.39388,1825
ANTC1HOF,5603.67472,1862
ANTC1HOF,5606.95556,2251
ANTC1HOF,5610.2364,1640
ANTC1HOF,5613.51724,1454
ANTC1HOF,5616.79808,1819
ANTC1HOF,5620.07892,1332
ANTC1HOF,5623.35976,1298
ANTC1HOF,5626.6406,1349
ANTC1HOF,5629.92144,1962
ANTC1HOF,5633.2022799999995,1623
ANTC1HOF,5636.48312,1695
ANTC1HOF,5639.76396,2495
ANTC1HOF,5643.0448,1899
ANTC1HOF,5646.32564,1905
ANTC1HOF,5649.60648,1782
ANTC1HOF,5652.88732,2105
ANTC1HOF,5656.16816,1396
ANTC1HOF,5659.449,1327
ANTC1HOF,5662.72984,1549
ANTC1HOF,5666.01068,1194
ANTC1HOF,5669.29152,1376
ANTC1HOF,5672.57236,1346
ANTC1HOF,5675.8532,1915
ANTC1HOF,5679.13404,1438
ANTC1HOF,5682.41488,1439
ANTC1HOF,5685.69572,1379
ANTC1HOF,5688.97656,1687
ANTC1HOF,5692.2574,1220
ANTC1HOF,5695.53824,1031
ANTC1HOF,5698.81908,1340
ANTC1HOF,5702.09992,961
ANTC1HOF,5705.38076,1038
ANTC1HOF,5708.6616,1066
ANTC1HOF,5711.94244,1528
ANTC1HOF,5715.22328,1205
ANTC1HOF,5718.50412,1244
ANTC1HOF,5721.78496,1614
ANTC1HOF,5725.0658,1243
ANTC1HOF,5728.34664,1189
ANTC1HOF,5731.62748,1122
ANTC1HOF,5734.90832,1432
ANTC1HOF,5738.18916,988
ANTC1HOF,5741.47,926
ANTC1HOF,5744.75084,1305
ANTC1HOF,5748.03168,999
ANTC1HOF,5751.31252,1090
ANTC1HOF,5754.59336,1153
ANTC1HOF,5757.8742,1610
ANTC1HOF,5761.15504,1205
ANTC1HOF,5764.43588,1198
ANTC1HOF,5767.71672,1222
ANTC1HOF,5770.99756,1401
ANTC1HOF,5774.2784,1021
ANTC1HOF,5777.55924,954
ANTC1HOF,5780.84008,1142
ANTC1HOF,5784.12092,926
ANTC1HOF,5787.40176,969
ANTC1HOF,5790.6826,970
ANTC1HOF,5793.9634399999995,1432
ANTC1HOF,5797.24428,1072
ANTC1HOF,5800.52512,1049
ANTC1HOF,5803.80596,1390
ANTC1HOF,5807.0868,1036
ANTC1HOF,5810.36764,956
ANTC1HOF,5813.64848,950
ANTC1HOF,5816.92932,1193
ANTC1HOF,5820.21016,819
ANTC1HOF,5823.491,827
ANTC1HOF,5826.77184,1161
ANTC1HOF,5830.05268,909
ANTC1HOF,5833.33352,960
ANTC1HOF,5836.61436,936
ANTC1HOF,5839.8952,1294
ANTC1HOF,5843.17604,1017
ANTC1HOF,5846.45688,1040
ANTC1HOF,5849.73772,1255
ANTC1HOF,5853.0185599999995,965
ANTC1HOF,5856.2994,877
ANTC1HOF,5859.58024,830
ANTC1HOF,5862.86108,1107
ANTC1HOF,5866.14192,856
ANTC1HOF,5869.42276,942
ANTC1HOF,5872.7036,970
